tradingday,stockcode,stockweight
2015-05-18 00:00:00,002117,0.8
2015-05-19 00:00:00,600187,0.8
2015-05-20 00:00:00,600846,0.8
2015-05-21 00:00:00,002467,0.8
2015-05-22 00:00:00,600821,0.8
2015-05-25 00:00:00,600000,0.8
2015-05-26 00:00:00,002182,0.8
2015-05-27 00:00:00,600229,0.8
2015-05-28 00:00:00,600592,0.8
2015-05-29 00:00:00,002126,0.8
2015-06-01 00:00:00,601998,0.8
2015-06-02 00:00:00,600475,0.8
2015-06-03 00:00:00,600260,0.8
2015-06-04 00:00:00,300192,0.8
2015-06-05 00:00:00,601107,0.8
2015-06-08 00:00:00,000025,0.8
2015-06-09 00:00:00,002513,0.8
2015-06-10 00:00:00,600867,0.8
2015-06-11 00:00:00,300393,0.8
2015-06-12 00:00:00,300056,0.8
2015-06-15 00:00:00,600482,0.8
2015-06-16 00:00:00,300365,0.8
2015-06-17 00:00:00,300265,0.8
2015-06-18 00:00:00,000938,0.8
2015-06-19 00:00:00,600597,0.8
2015-06-23 00:00:00,601999,0.8
2015-06-24 00:00:00,000957,0.8
2015-06-25 00:00:00,002186,0.8
2015-06-26 00:00:00,002127,0.8
2015-06-29 00:00:00,300156,0.8
2015-06-30 00:00:00,600880,0.8
2015-07-01 00:00:00,002361,0.8
2015-07-02 00:00:00,600633,0.8
2015-07-03 00:00:00,000016,0.8
2015-07-06 00:00:00,600479,0.8
2015-07-07 00:00:00,601009,0.8
2015-07-08 00:00:00,300328,0.8
2015-07-09 00:00:00,000410,0.8
2015-07-10 00:00:00,600340,0.8
2015-07-13 00:00:00,000728,0.8
2015-07-14 00:00:00,000829,0.8
2015-07-15 00:00:00,002341,0.8
2015-07-16 00:00:00,600582,0.8
2015-07-17 00:00:00,300212,0.8
2015-07-20 00:00:00,601628,0.8
2015-07-21 00:00:00,600000,0.8
2015-07-22 00:00:00,300335,0.8
2015-07-23 00:00:00,600897,0.8
2015-07-24 00:00:00,300101,0.8
2015-07-27 00:00:00,300085,0.8
2015-07-28 00:00:00,600198,0.8
2015-07-29 00:00:00,300262,0.8
2015-07-30 00:00:00,300202,0.8
2015-07-31 00:00:00,002722,0.8
2015-08-03 00:00:00,002569,0.8
2015-08-04 00:00:00,002607,0.8
2015-08-05 00:00:00,000505,0.8
2015-08-06 00:00:00,002657,0.8
2015-08-07 00:00:00,600195,0.8
2015-08-10 00:00:00,002408,0.8
2015-08-11 00:00:00,300391,0.8
2015-08-12 00:00:00,600369,0.8
2015-08-13 00:00:00,600393,0.8
2015-08-14 00:00:00,000561,0.8
2015-08-17 00:00:00,002638,0.8
2015-08-18 00:00:00,300020,0.8
2015-08-19 00:00:00,601798,0.8
2015-08-20 00:00:00,002243,0.8
2015-08-21 00:00:00,600452,0.8
2015-08-24 00:00:00,600229,0.8
2015-08-25 00:00:00,600132,0.8
2015-08-26 00:00:00,002014,0.8
2015-08-27 00:00:00,600322,0.8
2015-08-28 00:00:00,002639,0.8
2015-08-31 00:00:00,002095,0.8
2015-09-01 00:00:00,300165,0.8
2015-09-02 00:00:00,002482,0.8
2015-09-07 00:00:00,300019,0.8
2015-09-08 00:00:00,300187,0.8
2015-09-09 00:00:00,300045,0.8
2015-09-10 00:00:00,002301,0.8
2015-09-11 00:00:00,603366,0.8
2015-09-14 00:00:00,601018,0.8
2015-09-15 00:00:00,000410,0.8
2015-09-16 00:00:00,600385,0.8
2015-09-17 00:00:00,300198,0.8
2015-09-18 00:00:00,600826,0.8
2015-09-21 00:00:00,300055,0.8
2015-09-22 00:00:00,300213,0.8
2015-09-23 00:00:00,600817,0.8
2015-09-24 00:00:00,002353,0.8
2015-09-25 00:00:00,300285,0.8
2015-09-28 00:00:00,002099,0.8
2015-09-29 00:00:00,600587,0.8
2015-09-30 00:00:00,000680,0.8
2015-10-08 00:00:00,002468,0.8
2015-10-09 00:00:00,600461,0.8
2015-10-12 00:00:00,000892,0.8
2015-10-13 00:00:00,002588,0.8
2015-10-14 00:00:00,000606,0.8
2015-10-15 00:00:00,000514,0.8
2015-10-16 00:00:00,600141,0.8
2015-10-19 00:00:00,000997,0.8
2015-10-20 00:00:00,000880,0.8
2015-10-21 00:00:00,002082,0.8
2015-10-22 00:00:00,600680,0.8
2015-10-23 00:00:00,000933,0.8
2015-10-26 00:00:00,002417,0.8
2015-10-27 00:00:00,002377,0.8
2015-10-28 00:00:00,600860,0.8
2015-10-29 00:00:00,002188,0.8
2015-10-30 00:00:00,002010,0.8
2015-11-02 00:00:00,002395,0.8
2015-11-03 00:00:00,002484,0.8
2015-11-04 00:00:00,002659,0.8
2015-11-05 00:00:00,600076,0.8
2015-11-06 00:00:00,000902,0.8
2015-11-09 00:00:00,002725,0.8
2015-11-10 00:00:00,002069,0.8
2015-11-11 00:00:00,601958,0.8
2015-11-12 00:00:00,600380,0.8
2015-11-13 00:00:00,601018,0.8
2015-11-16 00:00:00,600229,0.8
2015-11-17 00:00:00,600015,0.8
2015-11-18 00:00:00,000589,0.8
2015-11-19 00:00:00,600137,0.8
2015-11-20 00:00:00,002666,0.8
2015-11-23 00:00:00,000852,0.8
2015-11-24 00:00:00,600060,0.8
2015-11-25 00:00:00,600823,0.8
2015-11-26 00:00:00,600519,0.8
2015-11-27 00:00:00,600108,0.8
2015-11-30 00:00:00,600547,0.8
2015-12-01 00:00:00,000554,0.8
2015-12-02 00:00:00,002036,0.8
2015-12-03 00:00:00,601880,0.8
2015-12-04 00:00:00,002169,0.8
2015-12-07 00:00:00,000537,0.8
2015-12-08 00:00:00,000030,0.8
2015-12-09 00:00:00,002206,0.8
2015-12-10 00:00:00,002674,0.8
